INFO 2023-12-21 18:44:20,785 autoreload Watching for file changes with StatReloader
DEBUG 2023-12-21 18:44:20,785 autoreload Waiting for apps ready_event.
DEBUG 2023-12-21 18:44:20,790 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-12-21 18:44:20,807 autoreload Watching dir C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\ca2\backend\locale with glob **/*.mo.
DEBUG 2023-12-21 18:44:20,808 autoreload Watching dir C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\ca2\backend\bird_hides\locale with glob **/*.mo.
DEBUG 2023-12-21 18:44:20,899 utils (0.000) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2023-12-21 18:44:21,027 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\db\backends\utils.py first seen with mtime 1693929974.1349974
DEBUG 2023-12-21 18:44:21,027 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1681817740.5884488
DEBUG 2023-12-21 18:44:21,027 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1693929973.9469967
DEBUG 2023-12-21 18:44:21,027 autoreload File B:\anaconda\envs\milo_is_gay\Lib\http\server.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,028 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\psycopg2\__init__.py first seen with mtime 1688999524.2440944
DEBUG 2023-12-21 18:44:21,028 autoreload File C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\ca2\backend\bird_hides\admin.py first seen with mtime 1703183802.029581
DEBUG 2023-12-21 18:44:21,028 autoreload File B:\anaconda\envs\milo_is_gay\Lib\_compression.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,028 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\checks\database.py first seen with mtime 1693929974.5109985
DEBUG 2023-12-21 18:44:21,028 autoreload File B:\anaconda\envs\milo_is_gay\Lib\asyncio\threads.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,028 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\transaction.py first seen with mtime 1693929974.5349987
DEBUG 2023-12-21 18:44:21,028 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\lib\_version.py first seen with mtime 1665171937.1298914
DEBUG 2023-12-21 18:44:21,028 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1693929974.5669987
DEBUG 2023-12-21 18:44:21,028 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\asgiref\sync.py first seen with mtime 1685243636.0953665
DEBUG 2023-12-21 18:44:21,028 autoreload File B:\anaconda\envs\milo_is_gay\Lib\concurrent\futures\__init__.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,028 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1693929974.2829978
DEBUG 2023-12-21 18:44:21,029 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1693929974.5149987
DEBUG 2023-12-21 18:44:21,029 autoreload File B:\anaconda\envs\milo_is_gay\Lib\ctypes\util.py first seen with mtime 1687559590.3602917
DEBUG 2023-12-21 18:44:21,029 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\fft\_pocketfft_internal.cp310-win_amd64.pyd first seen with mtime 1665171937.1218917
DEBUG 2023-12-21 18:44:21,029 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\compat\__init__.py first seen with mtime 1665171936.7718916
DEBUG 2023-12-21 18:44:21,029 autoreload File B:\anaconda\envs\milo_is_gay\Lib\concurrent\futures\thread.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,029 autoreload File B:\anaconda\envs\milo_is_gay\Lib\bz2.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,029 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1693929973.8749967
DEBUG 2023-12-21 18:44:21,029 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\gdal\srs.py first seen with mtime 1693929974.1469975
DEBUG 2023-12-21 18:44:21,029 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1693929974.5349987
DEBUG 2023-12-21 18:44:21,029 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\asgiref\local.py first seen with mtime 1685243636.0953665
DEBUG 2023-12-21 18:44:21,029 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1693929974.5669987
DEBUG 2023-12-21 18:44:21,030 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\_distributor_init.py first seen with mtime 1665171936.5580928
DEBUG 2023-12-21 18:44:21,030 autoreload File B:\anaconda\envs\milo_is_gay\Lib\asyncio\proactor_events.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,030 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1693929974.5149987
DEBUG 2023-12-21 18:44:21,030 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1693929973.9469967
DEBUG 2023-12-21 18:44:21,030 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1693929974.5269985
DEBUG 2023-12-21 18:44:21,030 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\colorama\__init__.py first seen with mtime 1665170792.7515018
DEBUG 2023-12-21 18:44:21,030 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\geos\prototypes\misc.py first seen with mtime 1693929974.1589975
DEBUG 2023-12-21 18:44:21,030 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1693929974.5549986
DEBUG 2023-12-21 18:44:21,030 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1693929974.618999
DEBUG 2023-12-21 18:44:21,030 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\_version.py first seen with mtime 1665171936.5620928
DEBUG 2023-12-21 18:44:21,031 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\colorama\ansitowin32.py first seen with mtime 1665170792.753509
DEBUG 2023-12-21 18:44:21,031 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1693929974.5629988
DEBUG 2023-12-21 18:44:21,031 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\__config__.py first seen with mtime 1665171936.553093
DEBUG 2023-12-21 18:44:21,031 autoreload File B:\anaconda\envs\milo_is_gay\Lib\urllib\__init__.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,031 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1693929973.690996
DEBUG 2023-12-21 18:44:21,031 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\gdal\prototypes\srs.py first seen with mtime 1693929974.1509974
DEBUG 2023-12-21 18:44:21,031 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1693929974.014997
DEBUG 2023-12-21 18:44:21,031 autoreload File B:\anaconda\envs\milo_is_gay\Lib\codecs.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,031 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\random\mtrand.cp310-win_amd64.pyd first seen with mtime 1665171937.2618906
DEBUG 2023-12-21 18:44:21,031 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\utils\cache.py first seen with mtime 1693929974.6149988
DEBUG 2023-12-21 18:44:21,031 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1693929973.9469967
DEBUG 2023-12-21 18:44:21,032 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1693929974.6109989
DEBUG 2023-12-21 18:44:21,032 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1693929974.0709972
DEBUG 2023-12-21 18:44:21,032 autoreload File B:\anaconda\envs\milo_is_gay\Lib\nturl2path.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,032 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\fft\__init__.py first seen with mtime 1665171937.118892
DEBUG 2023-12-21 18:44:21,032 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\utils\hashable.py first seen with mtime 1693929974.618999
DEBUG 2023-12-21 18:44:21,032 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1693929974.4989986
DEBUG 2023-12-21 18:44:21,032 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1693929974.5709987
DEBUG 2023-12-21 18:44:21,032 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\core\records.py first seen with mtime 1665171936.833892
DEBUG 2023-12-21 18:44:21,032 autoreload File B:\anaconda\envs\milo_is_gay\Lib\pkgutil.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,032 autoreload File B:\anaconda\envs\milo_is_gay\Lib\stat.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,032 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\core\_asarray.py first seen with mtime 1665171936.7808917
DEBUG 2023-12-21 18:44:21,033 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\lib\polynomial.py first seen with mtime 1665171937.1478918
DEBUG 2023-12-21 18:44:21,033 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\random\_philox.cp310-win_amd64.pyd first seen with mtime 1665171937.2518914
DEBUG 2023-12-21 18:44:21,033 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1681817740.5884488
DEBUG 2023-12-21 18:44:21,033 autoreload File B:\anaconda\envs\milo_is_gay\Lib\textwrap.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,033 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\sqlparse\sql.py first seen with mtime 1681817740.5884488
DEBUG 2023-12-21 18:44:21,033 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\geos\prototypes\errcheck.py first seen with mtime 1693929974.1589975
DEBUG 2023-12-21 18:44:21,033 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1693929974.4989986
DEBUG 2023-12-21 18:44:21,033 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1693929974.5189986
DEBUG 2023-12-21 18:44:21,033 autoreload File B:\anaconda\envs\milo_is_gay\Lib\asyncio\base_subprocess.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,033 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\geos\base.py first seen with mtime 1693929974.1549973
DEBUG 2023-12-21 18:44:21,033 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\db\backends\postgis\features.py first seen with mtime 1693929974.1389973
DEBUG 2023-12-21 18:44:21,034 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\utils\timezone.py first seen with mtime 1693929974.622999
DEBUG 2023-12-21 18:44:21,034 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\geos\libgeos.py first seen with mtime 1693929974.1549973
DEBUG 2023-12-21 18:44:21,034 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1693929974.6149988
DEBUG 2023-12-21 18:44:21,034 autoreload File B:\anaconda\envs\milo_is_gay\Lib\_collections_abc.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,034 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\psycopg2\_psycopg.cp310-win_amd64.pyd first seen with mtime 1688999524.2440944
DEBUG 2023-12-21 18:44:21,034 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\files\images.py first seen with mtime 1693929974.5149987
DEBUG 2023-12-21 18:44:21,034 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1693929974.5669987
DEBUG 2023-12-21 18:44:21,034 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1693929973.686996
DEBUG 2023-12-21 18:44:21,034 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1693929973.8749967
DEBUG 2023-12-21 18:44:21,034 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\views\debug.py first seen with mtime 1693929974.626999
DEBUG 2023-12-21 18:44:21,034 autoreload File B:\anaconda\envs\milo_is_gay\Lib\zipfile.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,035 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\gdal\raster\band.py first seen with mtime 1693929974.1509974
DEBUG 2023-12-21 18:44:21,035 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1693929973.9429967
DEBUG 2023-12-21 18:44:21,035 autoreload File C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\ca2\backend\bird_hides\apps.py first seen with mtime 1703183802.038596
DEBUG 2023-12-21 18:44:21,035 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1693929973.9429967
DEBUG 2023-12-21 18:44:21,035 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\lib\nanfunctions.py first seen with mtime 1665171937.1438916
DEBUG 2023-12-21 18:44:21,035 autoreload File B:\anaconda\envs\milo_is_gay\Lib\concurrent\futures\_base.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,035 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\template\base.py first seen with mtime 1693929974.5989988
DEBUG 2023-12-21 18:44:21,035 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\geos\prototypes\io.py first seen with mtime 1693929974.1589975
DEBUG 2023-12-21 18:44:21,035 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\shortcuts.py first seen with mtime 1693929974.1309974
DEBUG 2023-12-21 18:44:21,036 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\geometry.py first seen with mtime 1693929974.1309974
DEBUG 2023-12-21 18:44:21,036 autoreload File B:\anaconda\envs\milo_is_gay\Lib\asyncio\base_futures.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,036 autoreload File B:\anaconda\envs\milo_is_gay\Lib\gettext.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,036 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\polynomial\_polybase.py first seen with mtime 1665171937.217892
DEBUG 2023-12-21 18:44:21,036 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1693929973.9429967
DEBUG 2023-12-21 18:44:21,036 autoreload File B:\anaconda\envs\milo_is_gay\Lib\email\errors.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,036 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1693929974.5349987
DEBUG 2023-12-21 18:44:21,036 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\lib\npyio.py first seen with mtime 1665171937.146891
